Option,Primary production,Manufacturing,Feed safety,Specific value chains,Internal assurance system,Corporate supply chain QA system,GFSI recognized programme,Industry association-owned QA,Private export certification,Private GAP assurance scheme,Frequency of inspections,Scopeof inspection,Private audit data for inspection,Intervention or sanction policy,"No inspection, only system audit",vTPA governance structure assessed,Alignment of vTPA with legal requirements,Competences of private auditors assessed
Primary production,15,11,8,5,10,7,11,7,3,9,12,9,5,1,2,10,12,6
Manufacturing,,17,8,6,7,8,14,6,3,9,14,12,5,2,2,8,14,7
Feed safety,,,9,3,5,4,8,4,1,5,9,5,2,1,1,5,8,4
Specific value chains,,,,9,3,3,6,4,3,4,6,5,2,1,2,4,7,5
Internal assurance system,,,,,12,6,8,4,5,6,9,8,4,1,2,8,8,4
Corporate supply chain QA system,,,,,,9,8,5,3,6,6,6,2,1,2,5,9,3
GFSI recognized programme,,,,,,,16,5,3,9,11,10,4,1,1,7,13,5
Industry association-owned QA,,,,,,,,7,2,5,6,4,1,1,2,4,6,5
Private export certification,,,,,,,,,7,4,4,5,2,2,3,5,4,3
Private GAP assurance scheme,,,,,,,,,,11,9,8,4,1,2,7,9,5
Frequency of inspections,,,,,,,,,,,18,11,5,2,2,10,12,9
Scopeof inspection,,,,,,,,,,,,14,6,2,2,10,12,6
Private audit data for inspection,,,,,,,,,,,,,7,1,0,5,5,1
Intervention or sanction policy,,,,,,,,,,,,,,2,1,2,1,1
"No inspection, only system audit",,,,,,,,,,,,,,,3,2,3,2
vTPA governance structure assessed,,,,,,,,,,,,,,,,13,9,6
Alignment of vTPA with legal requirements,,,,,,,,,,,,,,,,,17,6
Competences of private auditors assessed,,,,,,,,,,,,,,,,,,9
